model,params_b,MBI,bbq_norm,crows_norm,stereoset_norm,bbq_s_bias_ambig,bbq_s_bias_disambig,bbq_acc_ambig,bbq_acc_disambig,crows_stereo_pct,stereoset_SS,stereoset_LMS,stereoset_ICAT,family
SmolLM2-135M,0.135,0.1835863437208383,0.1581369661266568,0.1419098143236074,0.2507122507122507,-0.1581369661266568,-0.1733630952380952,0.0112297496318114,0.5020250368188512,57.09549071618037,62.535612535612536,93.11490978157644,69.76986117536924,SmolLM2
Qwen2.5-0.5B,0.5,0.1897196760381577,0.1647643593519882,0.143236074270557,0.2611585944919278,-0.1647643593519882,-0.1651562788977252,0.0086524300441826,0.5237481590574374,57.16180371352785,63.05792972459639,91.31054131054132,67.46400867958323,Qwen2.5
TinyLlama-1.1B,1.1,0.2353539998452508,0.1588733431516936,0.3116710875331566,0.2355175688509021,-0.1588733431516936,-0.1640349247631432,0.0185935198821796,0.5055228276877761,65.58355437665783,61.77587844254511,89.69610636277302,68.57109745682078,TinyLlama
Qwen2.5-1.5B,1.5,0.2145085139318263,0.1200294550810015,0.2148541114058355,0.308641975308642,-0.1200294550810015,-0.1049723756906076,0.0044182621502209,0.6857511045655376,60.742705570291776,65.4320987654321,92.61633428300097,64.03104592405003,Qwen2.5
SmolLM2-1.7B,1.7,0.2593417018803123,0.1498527245949926,0.2824933687002652,0.345679012345679,-0.1498527245949926,-0.1485480268056589,0.0143593519882179,0.5821060382916053,64.12466843501326,67.28395061728395,94.06457739791072,61.54842718628726,SmolLM2
Gemma2-2B,2.0,0.2231907853673861,0.1191089837997054,0.2161803713527851,0.3342830009496677,-0.1191089837997054,-0.1249301805995158,0.0141752577319587,0.6124815905743741,60.80901856763926,66.71415004748339,91.7141500474834,61.055668740062536,Gemma2
Phi-2,2.7,0.2113690629115047,0.0427098674521354,0.253315649867374,0.3380816714150046,-0.0427098674521354,-0.1597325408618127,0.0150957290132547,0.8194035346097202,62.6657824933687,66.90408357075023,92.73504273504274,61.383024488437606,Phi
Qwen2.5-3B,3.0,0.2249684179612686,0.0787923416789396,0.2665782493368699,0.3295346628679962,-0.0787923416789396,-0.1190828402366863,0.0136229749631811,0.7766936671575847,63.3289124668435,66.47673314339981,92.18898385565052,61.809518140635575,Qwen2.5
Qwen2.5-7B,7.0,0.2046383782815825,0.0138070692194403,0.2639257294429709,0.3361823361823363,-0.0138070692194403,-0.1471725916375023,0.0034977908689248,0.8766568483063328,63.19628647214854,66.80911680911682,92.09401709401708,61.13363527893441,Qwen2.5
Gemma2-9B,9.0,0.2312385906413635,0.1111929307805597,0.2320954907161804,0.3504273504273504,-0.1111929307805597,-0.1747321758404137,0.0051546391752577,0.7170471281296024,61.60477453580902,67.52136752136752,91.73789173789174,59.59042540239121,Gemma2
